RocketData(len=13, b=8.300000190734863, a=16.5, tick=89, crc=632335585)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=90, crc=3166305627)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=91, crc=3418279373)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=92, crc=1440372846)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=93, crc=584935672)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=94, crc=3151247682)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=95, crc=3436382676)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=96, crc=2058691817)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=97, crc=229774463)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=98, crc=2495301061)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=99, crc=3820778835)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=100, crc=2111365360)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=101, crc=182440038)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=102, crc=2480308700)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=103, crc=3838947658)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=104, crc=1953410267)
RocketData(len=13, b=8.300000190734863, a=16.5, tick=105, crc=57252941)
